 start_time :2020-01-19 13:47:59 
 batch_size :5 
  start from66600, l_rate =3e-05 
freeze=True, batch_size=5, min_num_class=0 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.00003 66.60 k 54.10  | 1.348    76.685    91.779    0.8342    0.4000 | 0.000    0.000    0.000 | 0.000     0.000    0.000 |  0 hr 00 min 
0.00003 66.80 k 54.27  | 1.319    79.245    93.666    0.8552    0.4000 | 1.304    52.100    0.656 | 1.361     45.000    0.592 |  0 hr 04 min 
0.00003 67.00 k 54.43  | 1.314    79.784    94.070    0.8620    0.4000 | 1.337    45.100    0.615 | 1.150     60.000    0.800 |  0 hr 08 min 
0.00003 67.20 k 54.59  | 1.319    80.054    94.070    0.8643    0.4000 | 1.321    46.000    0.623 | 1.286     50.000    0.600 |  0 hr 11 min 
0.00003 67.40 k 54.75  | 1.325    78.841    93.935    0.8575    0.4000 | 1.335    42.000    0.599 | 1.299     35.000    0.625 |  0 hr 15 min 
0.00003 67.60 k 54.92  | 1.329    77.358    94.205    0.8503    0.4000 | 1.362    39.100    0.569 | 1.224     55.000    0.750 |  0 hr 18 min 
0.00003 67.80 k 55.08  | 1.335    74.124    94.340    0.8357    0.4000 | 1.315    41.500    0.612 | 1.312     35.000    0.625 |  0 hr 22 min 
0.00003 68.00 k 55.24  | 1.341    69.811    95.013    0.8178    0.4000 | 1.338    36.300    0.597 | 1.396     35.000    0.575 |  0 hr 26 min 
0.00003 68.20 k 55.40  | 1.346    67.655    94.744    0.8056    0.4000 | 1.336    36.100    0.596 | 1.311     40.000    0.617 |  0 hr 29 min 
0.00003 68.40 k 55.57  | 1.351    66.442    94.609    0.8015    0.4000 | 1.350    35.100    0.586 | 1.393     30.000    0.504 |  0 hr 33 min 
0.00003 68.60 k 55.73  | 1.359    63.881    95.283    0.7899    0.4000 | 1.392    30.900    0.545 | 1.409     30.000    0.521 |  0 hr 36 min 
0.00003 68.80 k 55.89  | 1.364    62.399    96.092    0.7863    0.4000 | 1.351    34.100    0.595 | 1.293     45.000    0.650 |  0 hr 40 min 
0.00003 69.00 k 56.05  | 1.370    59.030    95.957    0.7685    0.4000 | 1.379    31.800    0.577 | 1.402     25.000    0.550 |  0 hr 43 min 
0.00003 69.20 k 56.22  | 1.373    59.299    95.418    0.7673    0.4000 | 1.366    30.400    0.573 | 1.442     25.000    0.467 |  0 hr 47 min 
0.00003 69.40 k 56.38  | 1.382    55.121    95.957    0.7484    0.4000 | 1.389    29.000    0.570 | 1.306     35.000    0.654 |  0 hr 51 min 
0.00003 69.60 k 56.54  | 1.389    53.235    96.226    0.7403    0.4000 | 1.423    28.200    0.533 | 1.416     30.000    0.552 |  0 hr 54 min 
0.00003 69.80 k 56.70  | 1.392    50.943    95.687    0.7257    0.4000 | 1.384    29.900    0.579 | 1.491     25.000    0.472 |  0 hr 58 min 
0.00003 70.00 k 56.87  | 1.398    48.922    94.879    0.7115    0.4000 | 1.397    28.400    0.553 | 1.362     25.000    0.600 |  1 hr 01 min 
0.00003 70.20 k 57.03  | 1.404    47.844    95.553    0.7101    0.4000 | 1.410    28.600    0.566 | 1.351     30.000    0.650 |  1 hr 05 min 
0.00003 70.40 k 57.19  | 1.407    46.765    95.013    0.7033    0.4000 | 1.420    27.900    0.548 | 1.386     30.000    0.554 |  1 hr 08 min 
0.00003 70.60 k 57.35  | 1.412    44.879    96.226    0.6989    0.4000 | 1.431    26.900    0.537 | 1.492     25.000    0.542 |  1 hr 12 min 
0.00003 70.80 k 57.52  | 1.415    43.531    96.361    0.6911    0.4000 | 1.415    27.500    0.560 | 1.425     25.000    0.472 |  1 hr 16 min 
0.00003 71.00 k 57.68  | 1.418    41.509    96.226    0.6824    0.4000 | 1.433    26.700    0.560 | 1.523     30.000    0.528 |  1 hr 19 min 
0.00003 71.20 k 57.84  | 1.422    40.836    96.361    0.6774    0.4000 | 1.439    26.400    0.549 | 1.386     30.000    0.633 |  1 hr 23 min 
0.00003 71.40 k 58.00  | 1.424    40.162    96.092    0.6737    0.4000 | 1.455    26.000    0.540 | 1.411     30.000    0.539 |  1 hr 26 min 
0.00003 71.60 k 58.17  | 1.430    38.814    96.765    0.6699    0.4000 | 1.451    25.900    0.524 | 1.441     30.000    0.542 |  1 hr 30 min 
0.00003 71.80 k 58.33  | 1.432    38.544    95.148    0.6619    0.4000 | 1.428    25.500    0.570 | 1.449     25.000    0.585 |  1 hr 33 min 
0.00003 72.00 k 58.49  | 1.436    38.005    95.822    0.6616    0.4000 | 1.442    26.200    0.560 | 1.507     25.000    0.554 |  1 hr 37 min 
0.00003 72.20 k 58.65  | 1.437    37.332    95.013    0.6537    0.4000 | 1.443    26.200    0.551 | 1.490     25.000    0.575 |  1 hr 41 min 
0.00003 72.40 k 58.82  | 1.441    35.714    95.957    0.6510    0.4000 | 1.451    25.900    0.529 | 1.467     25.000    0.504 |  1 hr 44 min 
0.00003 72.60 k 58.98  | 1.443    34.906    96.226    0.6491    0.4000 | 1.469    25.600    0.523 | 1.425     25.000    0.512 |  1 hr 48 min 
0.00003 72.80 k 59.14  | 1.448    34.636    95.148    0.6414    0.4000 | 1.451    25.900    0.554 | 1.461     25.000    0.542 |  1 hr 51 min 
0.00003 73.00 k 59.30  | 1.449    34.232    94.474    0.6387    0.4000 | 1.456    26.100    0.556 | 1.492     25.000    0.542 |  1 hr 55 min 
0.00003 73.20 k 59.47  | 1.451    34.906    95.418    0.6438    0.4000 | 1.465    25.800    0.548 | 1.469     25.000    0.558 |  1 hr 59 min 
0.00003 73.40 k 59.63  | 1.455    34.367    95.687    0.6447    0.4000 | 1.467    25.300    0.545 | 1.482     25.000    0.567 |  2 hr 02 min 
0.00003 73.60 k 59.79  | 1.454    62.938    67.385    0.6467    0.3000 | 1.483    25.000    0.528 | 1.529     25.000    0.479 |  2 hr 06 min 
0.00003 73.80 k 59.95  | 1.455    62.803    67.251    0.6457    0.3000 | 1.459    25.500    0.575 | 1.429     25.000    0.617 |  2 hr 09 min 
0.00003 74.00 k 60.12  | 1.457    61.995    67.251    0.6405    0.3000 | 1.468    25.100    0.548 | 1.425     25.000    0.625 |  2 hr 13 min 
0.00003 74.20 k 60.28  | 1.462    63.747    69.003    0.6584    0.3000 | 1.480    25.000    0.547 | 1.523     25.000    0.542 |  2 hr 16 min 
0.00003 74.40 k 60.44  | 1.461    63.881    68.059    0.6560    0.3000 | 1.479    25.300    0.539 | 1.487     25.000    0.467 |  2 hr 20 min 
0.00003 74.60 k 60.60  | 1.465    65.499    70.755    0.6770    0.3000 | 1.494    25.000    0.532 | 1.501     25.000    0.537 |  2 hr 23 min 
0.00003 74.80 k 60.77  | 1.465    67.251    71.429    0.6905    0.3000 | 1.464    25.100    0.563 | 1.466     25.000    0.542 |  2 hr 27 min 
0.00003 75.00 k 60.93  | 1.468    66.307    71.159    0.6833    0.3000 | 1.478    25.100    0.559 | 1.522     25.000    0.508 |  2 hr 31 min 
