 start_time :2020-01-19 23:29:27 
 batch_size :5 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.00030  0.00 k  0.00  | 1.683    30.997    30.997    0.3100    0.6000 | 0.000    0.000    0.000 | 0.000     0.000    0.000 |  0 hr 00 min 
0.00030  0.20 k  0.15  | 1.436    30.997    30.997    0.3100    0.6000 | 1.655    0.100    0.004 | 1.616     0.000    0.000 |  0 hr 05 min 
0.00030  0.40 k  0.30  | 1.465    30.997    31.132    0.3103    0.6000 | 1.687    0.200    0.004 | 1.985     0.000    0.000 |  0 hr 10 min 
0.00030  0.60 k  0.45  | 1.515    30.997    31.267    0.3108    0.7000 | 1.687    0.400    0.007 | 1.560     0.000    0.000 |  0 hr 14 min 
0.00030  0.80 k  0.61  | 1.523    30.997    31.267    0.3113    0.6000 | 1.684    0.900    0.014 | 1.462     0.000    0.000 |  0 hr 19 min 
0.00030  1.00 k  0.76  | 1.641    30.997    31.806    0.3123    0.7000 | 1.700    1.200    0.033 | 1.834     0.000    0.000 |  0 hr 24 min 
0.00030  1.20 k  0.91  | 1.506    30.997    32.075    0.3142    0.6000 | 1.684    5.300    0.080 | 1.544     0.000    0.067 |  0 hr 29 min 
0.00030  1.40 k  1.06  | 1.505    30.997    32.345    0.3146    0.7000 | 1.645    4.800    0.083 | 1.525     0.000    0.025 |  0 hr 33 min 
0.00030  1.60 k  1.21  | 1.645    30.997    33.288    0.3184    0.7000 | 1.654    7.200    0.109 | 1.582     10.000    0.150 |  0 hr 38 min 
0.00030  1.80 k  1.36  | 1.508    31.132    33.423    0.3208    0.6000 | 1.631    7.700    0.117 | 1.489     15.000    0.198 |  0 hr 43 min 
0.00030  2.00 k  1.52  | 1.540    30.997    35.445    0.3285    0.7000 | 1.599    9.400    0.141 | 1.524     10.000    0.150 |  0 hr 48 min 
0.00030  2.20 k  1.67  | 1.526    30.997    35.849    0.3284    0.6000 | 1.587    12.200    0.177 | 1.525     10.000    0.142 |  0 hr 52 min 
0.00030  2.40 k  1.82  | 1.610    31.267    36.119    0.3339    0.7000 | 1.567    15.400    0.213 | 1.668     5.000    0.117 |  0 hr 57 min 
0.00030  2.60 k  1.97  | 1.631    31.806    36.119    0.3361    0.7000 | 1.542    18.200    0.258 | 1.462     10.000    0.135 |  1 hr 02 min 
