 start_time :2020-01-17 13:23:38 
 batch_size :5 
  start from22600, l_rate =0.0003 
freeze=True, batch_size=5, min_num_class=0 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.00030 22.60 k 18.36  | 2.654    37.736    37.871    0.3780    0.7000 | 0.000    0.000    0.000 | 0.000     0.000    0.000 |  0 hr 00 min 
0.00030 22.80 k 18.51  | 2.486    37.736    45.822    0.4058    0.4000 | 2.712    29.900    0.313 | 2.728     30.000    0.300 |  0 hr 04 min 
0.00030 23.00 k 18.66  | 2.333    37.736    51.617    0.4316    0.3000 | 2.620    27.300    0.295 | 2.590     25.000    0.283 |  0 hr 08 min 
0.00030 23.20 k 18.81  | 2.242    37.736    57.817    0.4643    0.3000 | 2.439    27.600    0.324 | 2.540     25.000    0.267 |  0 hr 11 min 
0.00030 23.40 k 18.97  | 2.227    37.601    62.534    0.4847    0.2000 | 2.397    26.000    0.328 | 2.380     25.000    0.375 |  0 hr 15 min 
0.00030 23.60 k 19.12  | 2.205    38.949    62.399    0.4909    0.2000 | 2.338    25.500    0.319 | 2.434     25.000    0.292 |  0 hr 19 min 
0.00030 23.80 k 19.27  | 2.135    42.857    66.712    0.5310    0.2000 | 2.212    25.800    0.351 | 2.241     25.000    0.302 |  0 hr 22 min 
0.00030 24.00 k 19.42  | 2.079    44.879    70.755    0.5624    0.2000 | 2.193    25.700    0.360 | 2.181     25.000    0.392 |  0 hr 26 min 
0.00030 24.20 k 19.57  | 2.030    47.709    72.102    0.5838    0.2000 | 2.220    25.400    0.349 | 2.323     25.000    0.367 |  0 hr 30 min 
0.00030 24.40 k 19.72  | 1.967    47.844    70.216    0.5719    0.2000 | 2.171    25.300    0.345 | 1.919     30.000    0.425 |  0 hr 33 min 
0.00030 24.60 k 19.88  | 1.977    46.765    72.372    0.5757    0.2000 | 2.149    25.200    0.343 | 2.276     25.000    0.325 |  0 hr 37 min 
0.00030 24.80 k 20.03  | 1.960    45.687    64.690    0.5300    0.2000 | 2.002    25.600    0.388 | 1.923     25.000    0.447 |  0 hr 41 min 
0.00030 25.00 k 20.18  | 1.945    48.113    69.137    0.5648    0.2000 | 2.016    25.100    0.370 | 1.884     25.000    0.368 |  0 hr 44 min 
0.00030 25.20 k 20.33  | 1.964    52.965    71.563    0.6075    0.2000 | 2.059    25.400    0.357 | 1.770     25.000    0.442 |  0 hr 48 min 
0.00030 25.40 k 20.48  | 1.985    51.482    71.024    0.5959    0.2000 | 2.041    25.400    0.363 | 1.916     25.000    0.375 |  0 hr 51 min 
0.00030 25.60 k 20.63  | 1.887    39.623    71.968    0.5373    0.3000 | 2.090    25.400    0.339 | 2.122     25.000    0.300 |  0 hr 55 min 
0.00030 25.80 k 20.78  | 1.894    39.353    71.563    0.5321    0.3000 | 1.900    26.100    0.396 | 2.001     30.000    0.400 |  0 hr 59 min 
0.00030 26.00 k 20.94  | 1.845    43.935    70.620    0.5546    0.3000 | 1.941    26.000    0.372 | 1.650     25.000    0.458 |  1 hr 03 min 
0.00030 26.20 k 21.09  | 1.864    42.992    72.372    0.5566    0.3000 | 1.974    26.100    0.370 | 2.016     25.000    0.335 |  1 hr 06 min 
0.00030 26.40 k 21.24  | 1.816    42.857    74.259    0.5638    0.3000 | 2.013    25.600    0.355 | 1.823     30.000    0.425 |  1 hr 10 min 
0.00030 26.60 k 21.39  | 1.805    54.582    73.720    0.6237    0.2000 | 1.990    25.400    0.352 | 1.928     25.000    0.383 |  1 hr 13 min 
0.00030 26.80 k 21.54  | 1.879    49.730    70.620    0.5807    0.2000 | 1.863    25.900    0.397 | 2.044     25.000    0.400 |  1 hr 17 min 
