 start_time :2020-01-05 19:03:49 
 batch_size :5 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.00030  0.00 k  0.00  | 1.656    30.997    30.997    0.3100    0.6000 | 0.000    0.000    0.000 | 0.000     0.000    0.000 |  0 hr 00 min 
0.00030  0.20 k  0.16  | 1.426    30.997    31.267    0.3106    0.6000 | 1.675    0.400    0.009 | 1.540     0.000    0.000 |  0 hr 05 min 
0.00030  0.40 k  0.32  | 1.589    30.997    31.267    0.3106    0.7000 | 1.688    0.400    0.010 | 1.562     0.000    0.000 |  0 hr 10 min 
0.00030  0.60 k  0.49  | 1.508    30.997    31.806    0.3135    0.6000 | 1.648    1.000    0.020 | 1.680     5.000    0.050 |  0 hr 16 min 
0.00030  0.80 k  0.65  | 1.501    30.997    32.075    0.3144    0.6000 | 1.649    1.900    0.028 | 1.503     10.000    0.125 |  0 hr 21 min 
0.00030  1.00 k  0.81  | 1.556    30.997    32.210    0.3140    0.7000 | 1.658    2.900    0.056 | 1.757     0.000    0.010 |  0 hr 25 min 
0.00030  1.20 k  0.97  | 1.525    30.997    32.210    0.3140    0.7000 | 1.633    3.800    0.075 | 1.675     0.000    0.052 |  0 hr 31 min 
0.00030  1.40 k  1.14  | 1.584    30.997    32.480    0.3151    0.7000 | 1.608    7.400    0.121 | 1.584     5.000    0.077 |  0 hr 36 min 
0.00030  1.60 k  1.30  | 1.657    30.997    33.019    0.3186    0.7000 | 1.597    10.400    0.163 | 1.776     10.000    0.177 |  0 hr 41 min 
0.00030  1.80 k  1.46  | 1.664    30.997    33.019    0.3183    0.7000 | 1.542    15.400    0.221 | 1.527     10.000    0.150 |  0 hr 46 min 
0.00030  2.00 k  1.62  | 1.554    31.267    33.962    0.3249    0.6000 | 1.517    18.000    0.263 | 1.553     15.000    0.235 |  0 hr 51 min 
0.00030  2.20 k  1.79  | 1.571    31.267    33.693    0.3240    0.7000 | 1.458    25.800    0.348 | 1.566     20.000    0.302 |  0 hr 56 min 
0.00030  2.40 k  1.95  | 1.608    32.075    34.232    0.3311    0.7000 | 1.448    31.300    0.396 | 1.307     25.000    0.378 |  1 hr 01 min 
0.00030  2.60 k  2.11  | 1.547    31.536    34.501    0.3292    0.7000 | 1.391    39.800    0.493 | 1.256     50.000    0.579 |  1 hr 06 min 
0.00030  2.80 k  2.27  | 1.590    31.536    34.367    0.3277    0.6000 | 1.318    47.500    0.560 | 1.322     45.000    0.517 |  1 hr 11 min 
0.00030  3.00 k  2.44  | 1.545    32.210    34.367    0.3329    0.7000 | 1.318    51.600    0.600 | 1.298     55.000    0.592 |  1 hr 16 min 
0.00030  3.20 k  2.60  | 1.561    32.884    34.771    0.3375    0.7000 | 1.254    58.600    0.654 | 1.084     60.000    0.689 |  1 hr 21 min 
0.00030  3.40 k  2.76  | 1.579    33.154    34.636    0.3377    0.7000 | 1.185    62.400    0.683 | 1.010     75.000    0.795 |  1 hr 26 min 
0.00030  3.60 k  2.92  | 1.578    33.558    34.771    0.3413    0.7000 | 1.119    65.000    0.718 | 1.086     65.000    0.725 |  1 hr 31 min 
0.00030  3.80 k  3.09  | 1.579    33.558    34.636    0.3407    0.7000 | 1.091    68.300    0.740 | 1.054     75.000    0.760 |  1 hr 36 min 
0.00030  4.00 k  3.25  | 1.588    33.962    34.636    0.3428    0.7000 | 1.027    72.200    0.783 | 0.957     75.000    0.818 |  1 hr 41 min 
0.00030  4.20 k  3.41  | 1.601    34.232    34.636    0.3441    0.7000 | 1.023    72.400    0.790 | 1.028     75.000    0.825 |  1 hr 46 min 
0.00030  4.40 k  3.57  | 1.599    34.097    34.771    0.3443    0.7000 | 0.935    78.300    0.843 | 0.960     75.000    0.835 |  1 hr 51 min 
0.00030  4.60 k  3.74  | 1.621    34.367    34.771    0.3457    0.7000 | 0.902    80.500    0.867 | 0.801     85.000    0.925 |  1 hr 56 min 
0.00030  4.80 k  3.90  | 1.652    34.501    34.771    0.3464    0.7000 | 0.857    80.300    0.867 | 0.885     70.000    0.804 |  2 hr 01 min 
0.00030  5.00 k  4.06  | 1.647    34.636    34.771    0.3470    0.7000 | 0.827    84.400    0.895 | 0.780     85.000    0.904 |  2 hr 06 min 
0.00030  5.20 k  4.22  | 1.661    34.501    34.771    0.3464    0.7000 | 0.798    86.300    0.909 | 0.769     85.000    0.925 |  2 hr 11 min 
0.00030  5.40 k  4.39  | 1.668    34.501    34.771    0.3464    0.7000 | 0.741    88.500    0.926 | 0.841     95.000    0.950 |  2 hr 16 min 
0.00030  5.60 k  4.55  | 1.702    34.232    34.771    0.3450    0.7000 | 0.712    90.500    0.943 | 0.696     90.000    0.950 |  2 hr 21 min 
