 start_time :2020-01-22 00:24:19 
 batch_size :5 
  start from70000, l_rate =3e-05 
freeze=True, batch_size=5, min_num_class=0 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.00003 70.00 k 53.04  | 1.337    72.372    90.431    0.7996    0.4000 | 0.000    0.000    0.000 | 0.000     0.000    0.000 |  0 hr 00 min 
0.00003 70.20 k 53.20  | 1.307    74.663    92.722    0.8241    0.4000 | 1.303    51.200    0.653 | 1.223     65.000    0.767 |  0 hr 04 min 
0.00003 70.40 k 53.35  | 1.303    80.593    94.070    0.8652    0.4000 | 1.310    49.000    0.652 | 1.284     55.000    0.713 |  0 hr 08 min 
0.00003 70.60 k 53.50  | 1.306    81.402    94.070    0.8710    0.4000 | 1.323    46.700    0.623 | 1.340     50.000    0.592 |  0 hr 11 min 
0.00003 70.80 k 53.65  | 1.312    80.728    93.801    0.8663    0.4000 | 1.351    40.300    0.574 | 1.408     45.000    0.492 |  0 hr 15 min 
0.00003 71.00 k 53.80  | 1.316    81.267    94.340    0.8724    0.4000 | 1.355    39.900    0.569 | 1.438     35.000    0.521 |  0 hr 18 min 
0.00003 71.20 k 53.95  | 1.318    79.380    95.283    0.8655    0.4000 | 1.325    42.400    0.620 | 1.442     40.000    0.550 |  0 hr 22 min 
0.00003 71.40 k 54.11  | 1.325    76.954    95.283    0.8547    0.4000 | 1.328    39.000    0.606 | 1.285     40.000    0.675 |  0 hr 25 min 
0.00003 71.60 k 54.26  | 1.331    74.933    94.744    0.8426    0.4000 | 1.341    38.200    0.604 | 1.379     25.000    0.500 |  0 hr 29 min 
0.00003 71.80 k 54.41  | 1.336    72.237    95.418    0.8342    0.4000 | 1.360    35.300    0.580 | 1.366     30.000    0.562 |  0 hr 33 min 
0.00003 72.00 k 54.56  | 1.341    70.755    96.226    0.8300    0.4000 | 1.365    33.200    0.574 | 1.420     25.000    0.517 |  0 hr 36 min 
0.00003 72.20 k 54.71  | 1.349    66.577    95.553    0.8057    0.4000 | 1.344    35.400    0.598 | 1.361     40.000    0.675 |  0 hr 40 min 
0.00003 72.40 k 54.86  | 1.357    65.768    95.553    0.8002    0.4000 | 1.357    34.700    0.588 | 1.382     35.000    0.535 |  0 hr 44 min 
0.00003 72.60 k 55.01  | 1.362    64.420    95.283    0.7932    0.4000 | 1.382    31.500    0.562 | 1.314     40.000    0.650 |  0 hr 47 min 
0.00003 72.80 k 55.17  | 1.369    61.456    95.822    0.7802    0.4000 | 1.373    32.500    0.579 | 1.429     25.000    0.542 |  0 hr 51 min 
0.00003 73.00 k 55.32  | 1.373    58.895    96.631    0.7718    0.4000 | 1.389    29.900    0.555 | 1.343     35.000    0.592 |  0 hr 54 min 
0.00003 73.20 k 55.47  | 1.381    57.278    96.226    0.7619    0.4000 | 1.362    31.500    0.598 | 1.290     45.000    0.725 |  0 hr 58 min 
0.00003 73.40 k 55.62  | 1.385    54.178    95.957    0.7431    0.4000 | 1.402    28.900    0.555 | 1.435     25.000    0.575 |  1 hr 02 min 
0.00003 73.60 k 55.77  | 1.386    52.022    96.361    0.7360    0.4000 | 1.402    28.500    0.557 | 1.377     30.000    0.627 |  1 hr 05 min 
0.00003 73.80 k 55.92  | 1.389    51.078    96.226    0.7298    0.4000 | 1.404    29.600    0.553 | 1.379     30.000    0.550 |  1 hr 09 min 
0.00003 74.00 k 56.08  | 1.396    48.518    96.092    0.7169    0.4000 | 1.433    26.800    0.530 | 1.430     25.000    0.517 |  1 hr 12 min 
0.00003 74.20 k 56.23  | 1.398    47.709    96.496    0.7141    0.4000 | 1.411    27.700    0.561 | 1.405     25.000    0.567 |  1 hr 16 min 
0.00003 74.40 k 56.38  | 1.403    45.687    96.631    0.7030    0.4000 | 1.416    27.300    0.556 | 1.414     25.000    0.600 |  1 hr 20 min 
