	__file__     = main.py
	out_dir      = ./models/seresnet101_fold0_512_512

	<additional comments>
	  ... xxx baseline  ... 

** dataset setting **
batch_size = 32
train_dataset : 
<process.data.WhaleDataset object at 0x7f8550597c50>
valid_dataset : 
<process.data.WhaleDataset object at 0x7f8608f855c0>

** net setting **
<class 'torch.nn.parallel.data_parallel.DataParallel'>


change hard_ratio: 0.01
0.0001000   0.0    0.0 | 0.000  0.000  0.000  (0.000)   | 2.506  1.050  0.000  (0.000)  |  0 hr 00 min
0.0001000 100.0    0.0 | 0.000  0.000  0.000  (0.000)   | 2.053  0.961  0.000  (0.000)  |  0 hr 02 min
0.0001000 200.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.830  1.002  0.000  (0.000)  |  0 hr 03 min
0.0001000 300.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.751  0.973  0.000  (0.000)  |  0 hr 05 min
0.0001000 400.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.719  0.970  0.000  (0.000)  |  0 hr 06 min
0.0001000 500.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.673  0.957  0.000  (0.000)  |  0 hr 07 min
0.0001000 600.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.572  1.027  0.000  (0.000)  |  0 hr 09 min
0.0001000 700.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.593  0.999  0.000  (0.000)  |  0 hr 10 min
0.0001000 800.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.629  1.114  0.000  (0.000)  |  0 hr 12 min
0.0001000 900.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.562  1.053  0.000  (0.000)  |  0 hr 13 min
0.0001000 1000.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.610  1.045  0.000  (0.000)  |  0 hr 15 min
0.0001000 1100.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.631  1.068  0.000  (0.000)  |  0 hr 16 min
0.0001000 1200.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.556  1.017  0.000  (0.000)  |  0 hr 18 min
0.0001000 1300.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.557  1.047  0.000  (0.000)  |  0 hr 19 min
0.0001000 1400.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.582  1.038  0.000  (0.000)  |  0 hr 21 min
0.0001000 1500.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.604  1.057  0.000  (0.000)  |  0 hr 22 min
0.0001000 1600.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.516  1.034  0.000  (0.000)  |  0 hr 24 min
0.0001000 1700.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.627  1.019  0.000  (0.000)  |  0 hr 25 min
0.0001000 1800.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.573  0.956  0.000  (0.008)  |  0 hr 27 min
0.0001000 1900.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.535  0.693  0.000  (0.100)  |  0 hr 28 min
save max valid!!!!!! : 0.34102777777777776
change hard_ratio: 0.01
0.0001000 2000.0    1.0 | 1.048  0.338  0.002  (0.341)   | 1.494  0.818  0.000  (0.042)  |  0 hr 31 min
0.0001000 2100.0    1.0 | 1.048  0.338  0.002  (0.341)   | 1.470  1.007  0.000  (0.000)  |  0 hr 32 min
0.0001000 2200.0    1.0 | 1.048  0.338  0.002  (0.341)   | 1.572  0.914  0.000  (0.000)  |  0 hr 34 min
0.0001000 2300.0    1.0 | 1.048  0.338  0.002  (0.341)   | 1.468  0.819  0.000  (0.000)  |  0 hr 35 min
0.0001000 2400.0    1.0 | 1.048  0.338  0.002  (0.341)   | 1.448  0.777  0.000  (0.000)  |  0 hr 37 min
0.0001000 2500.0    1.0 | 1.048  0.338  0.002  (0.341)   | 1.524  0.906  0.000  (0.000)  |  0 hr 38 min
0.0001000 2600.0    1.0 | 1.048  0.338  0.002  (0.341)   | 1.436  0.952  0.000  (0.000)  |  0 hr 40 min
0.0001000 2700.0    1.0 | 1.048  0.338  0.002  (0.341)   | 1.441  0.845  0.000  (0.000)  |  0 hr 41 min
0.0001000 2800.0    1.0 | 1.048  0.338  0.002  (0.341)   | 1.394  0.788  0.000  (0.000)  |  0 hr 43 min
0.0001000 2900.0    1.0 | 1.048  0.338  0.002  (0.341)   | 1.464  0.755  0.000  (0.010)  |  0 hr 44 min
0.0001000 3000.0    1.0 | 1.048  0.338  0.002  (0.341)   | 1.466  0.796  0.000  (0.008)  |  0 hr 45 min
0.0001000 3100.0    1.0 | 1.048  0.338  0.002  (0.341)   | 1.462  0.909  0.000  (0.000)  |  0 hr 47 min
0.0001000 3200.0    1.0 | 1.048  0.338  0.002  (0.341)   | 1.403  0.698  0.000  (0.008)  |  0 hr 48 min
0.0001000 3300.0    1.0 | 1.048  0.338  0.002  (0.341)   | 1.432  0.827  0.000  (0.000)  |  0 hr 50 min
0.0001000 3400.0    1.0 | 1.048  0.338  0.002  (0.341)   | 1.441  0.767  0.000  (0.042)  |  0 hr 52 min
0.0001000 3500.0    1.0 | 1.048  0.338  0.002  (0.341)   | 1.498  0.782  0.000  (0.125)  |  0 hr 53 min
0.0001000 3600.0    1.0 | 1.048  0.338  0.002  (0.341)   | 1.418  0.714  0.000  (0.125)  |  0 hr 55 min
0.0001000 3700.0    1.0 | 1.048  0.338  0.002  (0.341)   | 1.516  0.774  0.000  (0.125)  |  0 hr 56 min
0.0001000 3800.0    1.0 | 1.048  0.338  0.002  (0.341)   | 1.375  0.399  0.000  (0.479)  |  0 hr 58 min
0.0001000 3900.0    1.0 | 1.048  0.338  0.002  (0.341)   | 1.469  0.514  0.000  (0.302)  |  0 hr 59 min
save max valid!!!!!! : 0.3514583333333333
change hard_ratio: 0.01
0.0001000 4000.0    2.0 | 0.983  0.340  0.008  (0.351)   | 1.318  0.421  0.000  (0.297)  |  1 hr 01 min
0.0001000 4100.0    2.0 | 0.983  0.340  0.008  (0.351)   | 1.348  0.588  0.025  (0.083)  |  1 hr 03 min
0.0001000 4200.0    2.0 | 0.983  0.340  0.008  (0.351)   | 1.319  0.497  0.000  (0.050)  |  1 hr 04 min
0.0001000 4300.0    2.0 | 0.983  0.340  0.008  (0.351)   | 1.331  0.573  0.000  (0.052)  |  1 hr 06 min
