	__file__     = main.py
	out_dir      = ./models/seresnet101_fold0_pseudo_512_512

	<additional comments>
	  ... xxx baseline  ... 

** dataset setting **
batch_size = 32
train_dataset : 
<process.data.WhaleDataset object at 0x7ffa3d1fcc18>
valid_dataset : 
<process.data.WhaleDataset object at 0x7ffaf5c34588>

** net setting **
<class 'torch.nn.parallel.data_parallel.DataParallel'>


change hard_ratio: 0.01
0.0001000   0.0    0.0 | 0.000  0.000  0.000  (0.000)   | 2.391  1.001  0.000  (0.000)  |  0 hr 00 min
0.0001000 100.0    0.0 | 0.000  0.000  0.000  (0.000)   | 2.069  0.994  0.000  (0.000)  |  0 hr 02 min
0.0001000 200.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.943  1.025  0.000  (0.000)  |  0 hr 03 min
0.0001000 300.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.834  0.967  0.000  (0.000)  |  0 hr 04 min
0.0001000 400.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.777  1.009  0.000  (0.000)  |  0 hr 06 min
0.0001000 500.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.720  0.971  0.000  (0.000)  |  0 hr 07 min
0.0001000 600.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.689  0.982  0.000  (0.000)  |  0 hr 09 min
0.0001000 700.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.669  1.021  0.000  (0.000)  |  0 hr 10 min
0.0001000 800.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.699  1.012  0.000  (0.000)  |  0 hr 12 min
0.0001000 900.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.654  1.031  0.000  (0.000)  |  0 hr 13 min
0.0001000 1000.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.585  1.018  0.000  (0.000)  |  0 hr 15 min
0.0001000 1100.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.679  1.032  0.000  (0.000)  |  0 hr 16 min
0.0001000 1200.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.601  1.078  0.000  (0.000)  |  0 hr 18 min
0.0001000 1300.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.588  0.994  0.000  (0.000)  |  0 hr 19 min
0.0001000 1400.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.588  1.015  0.000  (0.000)  |  0 hr 20 min
0.0001000 1500.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.616  1.009  0.000  (0.000)  |  0 hr 22 min
0.0001000 1600.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.606  0.982  0.000  (0.000)  |  0 hr 23 min
0.0001000 1700.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.599  0.945  0.000  (0.021)  |  0 hr 25 min
0.0001000 1800.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.498  0.774  0.000  (0.146)  |  0 hr 26 min
0.0001000 1900.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.505  0.689  0.000  (0.240)  |  0 hr 28 min
save max valid!!!!!! : 0.3414166666666667
change hard_ratio: 0.01
0.0001000 2000.0    1.0 | 1.046  0.336  0.001  (0.341)   | 1.505  0.798  0.000  (0.000)  |  0 hr 30 min
0.0001000 2100.0    1.0 | 1.046  0.336  0.001  (0.341)   | 1.495  0.595  0.000  (0.083)  |  0 hr 32 min
