	__file__     = main.py
	out_dir      = ./models/seresnext101_fold0_pseudo_512_512

	<additional comments>
	  ... xxx baseline  ... 

** dataset setting **
batch_size = 32
train_dataset : 
<process.data.WhaleDataset object at 0x7f5cf0b60b70>
valid_dataset : 
<process.data.WhaleDataset object at 0x7f5da94a7588>

** net setting **
<class 'torch.nn.parallel.data_parallel.DataParallel'>


change hard_ratio: 0.01
0.0001000   0.0    0.0 | 0.000  0.000  0.000  (0.000)   | 2.421  1.036  0.000  (0.000)  |  0 hr 00 min
0.0001000 100.0    0.0 | 0.000  0.000  0.000  (0.000)   | 2.027  1.041  0.000  (0.000)  |  0 hr 02 min
0.0001000 200.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.880  0.991  0.000  (0.000)  |  0 hr 03 min
0.0001000 300.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.789  0.965  0.000  (0.000)  |  0 hr 05 min
0.0001000 400.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.762  0.943  0.000  (0.000)  |  0 hr 07 min
0.0001000 500.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.681  1.006  0.000  (0.000)  |  0 hr 08 min
0.0001000 600.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.622  0.973  0.000  (0.000)  |  0 hr 10 min
0.0001000 700.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.648  1.008  0.000  (0.000)  |  0 hr 11 min
0.0001000 800.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.651  1.028  0.000  (0.000)  |  0 hr 13 min
0.0001000 900.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.652  0.974  0.000  (0.000)  |  0 hr 15 min
0.0001000 1000.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.601  1.045  0.000  (0.000)  |  0 hr 16 min
0.0001000 1100.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.566  1.025  0.000  (0.000)  |  0 hr 18 min
0.0001000 1200.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.629  1.015  0.000  (0.000)  |  0 hr 19 min
0.0001000 1300.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.603  1.015  0.000  (0.000)  |  0 hr 21 min
0.0001000 1400.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.549  1.046  0.000  (0.000)  |  0 hr 23 min
0.0001000 1500.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.570  0.890  0.000  (0.000)  |  0 hr 24 min
0.0001000 1600.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.592  1.012  0.000  (0.000)  |  0 hr 26 min
0.0001000 1700.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.496  1.000  0.000  (0.042)  |  0 hr 27 min
0.0001000 1800.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.530  1.086  0.000  (0.000)  |  0 hr 29 min
0.0001000 1900.0    0.0 | 0.000  0.000  0.000  (0.000)   | 1.550  0.731  0.000  (0.177)  |  0 hr 31 min
save max valid!!!!!! : 0.34376388888888887
change hard_ratio: 0.01
0.0001000 2000.0    1.0 | 1.039  0.336  0.003  (0.344)   | 1.476  0.844  0.000  (0.000)  |  0 hr 33 min
0.0001000 2100.0    1.0 | 1.039  0.336  0.003  (0.344)   | 1.457  0.749  0.000  (0.000)  |  0 hr 35 min
0.0001000 2200.0    1.0 | 1.039  0.336  0.003  (0.344)   | 1.540  0.915  0.000  (0.000)  |  0 hr 37 min
0.0001000 2300.0    1.0 | 1.039  0.336  0.003  (0.344)   | 1.495  0.812  0.000  (0.050)  |  0 hr 38 min
0.0001000 2400.0    1.0 | 1.039  0.336  0.003  (0.344)   | 1.466  0.754  0.000  (0.010)  |  0 hr 40 min
0.0001000 2500.0    1.0 | 1.039  0.336  0.003  (0.344)   | 1.504  0.844  0.000  (0.000)  |  0 hr 41 min
0.0001000 2600.0    1.0 | 1.039  0.336  0.003  (0.344)   | 1.530  0.820  0.000  (0.000)  |  0 hr 43 min
0.0001000 2700.0    1.0 | 1.039  0.336  0.003  (0.344)   | 1.496  0.933  0.000  (0.000)  |  0 hr 45 min
